signal_id,case_id,signal_category,signal_description,severity,data_sources_used,feeds_into_c,score_impact,generated_timestamp
3e6e9209-feaf-4622-b3f3-72b89a1c2b13,CAM_00001,velocity_trend,Bank credit inflows have grown 42.6% in the last 3 months compared to the prior period. Positive revenue momentum.,low,"[""Bank Monthly Summary""]",Capacity,0.5,2026-03-12T16:05:27.427125
ece6219a-0ade-4bcd-8922-f39f3b7daf06,CAM_00008,velocity_trend,Bank credit inflows have grown 36.3% in the last 3 months compared to the prior period. Positive revenue momentum.,low,"[""Bank Monthly Summary""]",Capacity,0.5,2026-03-12T16:05:27.498047
116a7ec7-7cdb-4449-84b8-afa7e3c6957e,CAM_00013,velocity_trend,Bank credit inflows have grown 25.1% in the last 3 months compared to the prior period. Positive revenue momentum.,low,"[""Bank Monthly Summary""]",Capacity,0.5,2026-03-12T16:05:27.550500
3280d1d6-b741-4af3-8f0e-b89467620713,CAM_00014,velocity_trend,Bank credit inflows have grown 27.2% in the last 3 months compared to the prior period. Positive revenue momentum.,low,"[""Bank Monthly Summary""]",Capacity,0.5,2026-03-12T16:05:27.561353
c2570f5e-c894-4d43-a254-dfd4bfeda5df,CAM_00016,velocity_trend,Bank credit inflows have grown 28.7% in the last 3 months compared to the prior period. Positive revenue momentum.,low,"[""Bank Monthly Summary""]",Capacity,0.5,2026-03-12T16:05:27.583150
e1efb6c3-625d-4604-80ec-a34126fe3bdf,CAM_00018,velocity_trend,Bank credit inflows have grown 45.1% in the last 3 months compared to the prior period. Positive revenue momentum.,low,"[""Bank Monthly Summary""]",Capacity,0.5,2026-03-12T16:05:27.605203
bd92df55-67df-428a-abbb-f0707d3e2583,CAM_00022,velocity_trend,Bank credit inflows have grown 25.4% in the last 3 months compared to the prior period. Positive revenue momentum.,low,"[""Bank Monthly Summary""]",Capacity,0.5,2026-03-12T16:05:27.655179
8665e2dc-5b9f-48f9-b907-3cfd02466014,CAM_00025,velocity_trend,Bank credit inflows have grown 26.5% in the last 3 months compared to the prior period. Positive revenue momentum.,low,"[""Bank Monthly Summary""]",Capacity,0.5,2026-03-12T16:05:27.691001
4baca200-73a9-42fd-8216-4118040e2bff,CAM_00027,velocity_trend,Bank credit inflows have grown 25.3% in the last 3 months compared to the prior period. Positive revenue momentum.,low,"[""Bank Monthly Summary""]",Capacity,0.5,2026-03-12T16:05:27.711629
1fbaa950-9843-47ec-b059-d53081e108d9,CAM_00033,velocity_trend,Bank credit inflows have grown 32.4% in the last 3 months compared to the prior period. Positive revenue momentum.,low,"[""Bank Monthly Summary""]",Capacity,0.5,2026-03-12T16:05:27.794849
ac3f19ef-2298-42b2-9f75-244f64a7364c,CAM_00035,velocity_trend,Bank credit inflows have grown 47.5% in the last 3 months compared to the prior period. Positive revenue momentum.,low,"[""Bank Monthly Summary""]",Capacity,0.5,2026-03-12T16:05:27.822567
3d39a29a-1457-4114-9c68-ec109986ec54,CAM_00036,velocity_trend,Bank credit inflows have grown 25.0% in the last 3 months compared to the prior period. Positive revenue momentum.,low,"[""Bank Monthly Summary""]",Capacity,0.5,2026-03-12T16:05:27.838385
700b02a6-16cf-4a71-b009-7585e2810dbe,CAM_00038,velocity_trend,Bank credit inflows have grown 33.1% in the last 3 months compared to the prior period. Positive revenue momentum.,low,"[""Bank Monthly Summary""]",Capacity,0.5,2026-03-12T16:05:27.881963
c403fd72-1e72-4af4-9d51-23a09048c740,CAM_00039,velocity_trend,Bank credit inflows have grown 36.6% in the last 3 months compared to the prior period. Positive revenue momentum.,low,"[""Bank Monthly Summary""]",Capacity,0.5,2026-03-12T16:05:27.894760
9cf50bcf-4fc5-4137-b44a-af0c492849c1,CAM_00041,velocity_trend,Bank credit inflows have grown 42.4% in the last 3 months compared to the prior period. Positive revenue momentum.,low,"[""Bank Monthly Summary""]",Capacity,0.5,2026-03-12T16:05:27.924997
b21efbd5-0f67-418d-a37e-e857aef6d88e,CAM_00047,velocity_trend,Bank credit inflows have grown 35.5% in the last 3 months compared to the prior period. Positive revenue momentum.,low,"[""Bank Monthly Summary""]",Capacity,0.5,2026-03-12T16:05:28.052852
f306f199-d186-442b-aa0d-f654a9caf542,CAM_00049,velocity_trend,Bank credit inflows have grown 25.5% in the last 3 months compared to the prior period. Positive revenue momentum.,low,"[""Bank Monthly Summary""]",Capacity,0.5,2026-03-12T16:05:28.088601
5820d75a-c85d-404a-b9ec-d1b190aacf5f,CAM_00052,velocity_trend,Bank credit inflows have grown 30.9% in the last 3 months compared to the prior period. Positive revenue momentum.,low,"[""Bank Monthly Summary""]",Capacity,0.5,2026-03-12T16:05:28.122411
8cfce6c0-7ffc-47cf-935a-b805c625e2a1,CAM_00054,velocity_trend,Bank credit inflows have grown 27.5% in the last 3 months compared to the prior period. Positive revenue momentum.,low,"[""Bank Monthly Summary""]",Capacity,0.5,2026-03-12T16:05:28.143292
8dd67dbc-b40c-44f7-adda-536b46bdba9a,CAM_00055,velocity_trend,Bank credit inflows have grown 35.8% in the last 3 months compared to the prior period. Positive revenue momentum.,low,"[""Bank Monthly Summary""]",Capacity,0.5,2026-03-12T16:05:28.154076
